,0
0,32.3187414500684
1,32.3187414500684
2,32.3187414500684
3,32.3187414500684
4,37.00410396716826
5,34.952120383036934
6,37.7906976744186
7,34.98632010943913
8,34.98632010943913
9,37.00410396716826
10,38.03009575923392
11,36.52530779753762
12,37.7906976744186
13,36.01231190150479
14,37.68809849521204
15,34.4391244870041
16,38.50889192886457
17,35.909712722298224
18,39.158686730506155
19,38.88508891928865
20,38.23529411764706
21,40.69767441860465
22,35.191518467852255
23,38.78248974008208
24,39.77428180574555
25,33.41313269493844
26,40.45827633378933
27,39.87688098495212
28,39.53488372093023
29,41.27906976744186
30,41.1764705882353
31,41.689466484268124
32,39.46648426812585
33,42.71545827633379
34,42.0656634746922
35,40.66347469220246
36,42.64705882352941
37,41.621067031463745
38,43.125854993160054
39,42.031463748290015
40,38.850889192886456
41,43.22845417236662
42,43.296853625170996
43,43.22845417236662
44,43.39945280437757
45,35.77291381668947
46,43.50205198358413
47,43.09165526675787
48,44.08344733242134
49,42.13406292749658
50,43.775649794801645
51,44.45964432284542
52,44.04924760601915
53,44.18604651162791
54,41.27906976744186
55,43.74145006839945
56,42.47606019151847
57,42.13406292749658
58,45.690834473324216
59,45.21203830369357
60,44.254445964432286
61,44.15184678522572
62,45.14363885088919
63,43.74145006839945
64,44.63064295485636
65,45.4172366621067
66,45.280437756497946
67,44.493844049247606
68,44.93844049247606
69,44.69904240766074
70,44.76744186046512
71,46.20383036935704
72,46.37482900136799
73,43.87824897400821
74,44.18604651162791
75,45.93023255813954
76,46.37482900136799
77,46.40902872777018
78,46.88782489740082
79,42.20246238030096
80,46.51162790697674
81,47.53761969904241
82,47.12722298221614
83,46.9562243502052
84,45.759233926128594
85,45.4172366621067
86,47.40082079343365
87,41.4500683994528
88,48.66621067031464
89,48.119015047879614
90,49.41860465116279
91,48.87140902872777
92,47.913816689466486
93,45.24623803009576
94,48.700410396716826
95,46.44322845417236
96,49.0766073871409
97,47.332421340629274
98,48.768809849521205
99,46.545827633378934
100,50.034199726402186
101,48.97400820793434
