,0
0,32.3187414500684
1,32.3187414500684
2,32.3187414500684
3,38.64569083447332
4,39.0218878248974
5,40.49247606019152
6,39.500683994528046
7,39.261285909712726
8,41.792065663474695
9,40.69767441860465
10,42.3734610123119
11,41.552667578659374
12,43.33105335157319
13,43.16005471956225
14,41.96306429548564
15,44.254445964432286
16,43.39945280437757
17,45.00683994528044
18,42.886456908344734
19,45.00683994528044
20,43.296853625170996
21,46.88782489740082
22,48.73461012311901
23,45.48563611491108
24,49.008207934336525
25,45.93023255813954
26,49.04240766073871
27,47.84541723666211
28,50.0
29,46.58002735978112
30,47.36662106703147
31,46.92202462380301
32,49.6922024623803
33,48.29001367989056
34,51.19699042407661
35,52.15458276333789
36,51.16279069767442
37,48.87140902872777
38,53.48837209302326
39,49.316005471956224
40,48.66621067031464
41,49.93160054719562
42,58.378932968536255
43,53.89876880984952
44,55.84815321477428
45,55.198358413132695
46,55.677154582763336
47,59.98632010943913
48,61.01231190150479
49,56.087551299589606
