,0
0,32.3187414500684
1,32.3187414500684
2,32.3187414500684
3,37.31190150478796
4,39.60328317373461
5,38.919288645690834
6,39.500683994528046
7,40.49247606019152
8,39.87688098495212
9,39.87688098495212
10,39.569083447332424
11,41.03967168262654
12,38.919288645690834
13,39.43228454172367
14,41.00547195622435
15,41.31326949384405
16,41.24487004103967
17,40.80027359781122
18,41.96306429548564
19,41.621067031463745
20,41.82626538987688
21,41.723666210670316
22,41.1764705882353
23,38.74829001367989
24,41.24487004103967
25,41.552667578659374
26,41.4500683994528
27,43.50205198358413
28,42.886456908344734
29,41.723666210670316
30,43.296853625170996
31,41.552667578659374
32,43.74145006839945
33,43.365253077975375
34,43.02325581395349
35,42.95485636114911
36,44.28864569083447
37,42.78385772913817
38,41.65526675786594
39,44.322845417236664
40,43.67305061559507
41,43.707250341997266
42,44.63064295485636
43,42.95485636114911
44,44.254445964432286
45,44.35704514363885
46,44.322845417236664
47,44.76744186046512
48,45.4172366621067
49,45.62243502051984
50,45.24623803009576
51,43.80984952120383
52,45.55403556771546
53,45.48563611491108
54,45.48563611491108
55,46.51162790697674
56,46.71682626538988
57,45.827633378932966
58,45.690834473324216
59,47.811217510259915
60,46.135430916552664
61,47.40082079343365
62,46.68262653898769
63,47.811217510259915
64,47.879616963064294
65,47.332421340629274
66,47.093023255813954
67,49.52120383036936
68,44.63064295485636
69,48.80300957592339
70,48.93980848153215
71,48.66621067031464
72,42.78385772913817
73,48.90560875512996
74,46.71682626538988
75,49.76060191518468
76,50.06839945280438
77,50.6155950752394
78,51.74418604651163
79,51.299589603283174
80,51.91518467852257
81,50.78659370725034
82,47.674418604651166
83,51.06019151846785
84,50.95759233926129
85,51.57318741450069
86,52.77017783857729
87,44.93844049247606
88,52.87277701778386
89,51.231190150478795
90,52.735978112175104
91,53.761969904240765
92,55.30095759233926
93,53.14637482900137
94,54.44596443228454
95,55.12995896032832
96,52.325581395348834
97,55.40355677154583
98,52.428180574555405
99,52.39398084815321
100,53.72777017783858
101,55.02735978112175
102,55.677154582763336
103,55.745554035567714
104,51.778385772913815
105,58.03693570451436
106,57.9343365253078
107,55.06155950752394
108,57.69493844049248
109,57.76333789329686
110,56.292749658002734
111,59.91792065663475
112,58.17373461012312
113,59.98632010943913
114,59.61012311901505
115,54.82216142270862
116,58.378932968536255
117,62.10670314637483
118,59.02872777017784
119,61.388508891928865
120,59.98632010943913
121,61.55950752393981
122,62.585499316005475
123,63.74829001367989
124,60.294117647058826
125,59.712722298221614
126,59.91792065663475
127,62.65389876880985
128,63.26949384404925
129,60.191518467852255
130,46.61422708618331
131,64.09028727770178
132,62.61969904240766
133,62.85909712722298
134,60.601915184678525
135,66.34746922024624
136,63.372093023255815
137,64.0218878248974
138,62.175102599179205
139,66.89466484268125
140,66.72366621067032
141,67.71545827633379
142,62.414500683994525
143,66.65526675786593
144,62.482900136798904
145,67.13406292749659
146,66.4500683994528
147,66.31326949384405
148,69.01504787961696
149,67.85225718194255
150,68.33105335157319
151,61.04651162790697
152,62.00410396716826
153,63.406292749658
154,67.03146374829001
155,69.08344733242134
156,67.9890560875513
157,70.48563611491107
158,66.82626538987688
159,65.62927496580028
160,65.93707250341997
161,71.47742818057455
162,72.70861833105336
163,65.35567715458276
164,62.99589603283174
165,72.81121751025992
166,64.22708618331053
167,73.4610123119015
168,70.96443228454173
169,71.6484268125855
170,73.05061559507524
171,74.86320109439124
172,70.86183310533515
173,73.29001367989056
174,62.38030095759234
175,74.17920656634747
176,73.87140902872777
177,71.51162790697674
178,73.97400820793433
179,59.54172366621067
180,76.40218878248974
181,63.98768809849521
182,77.4281805745554
183,71.68262653898769
184,79.10396716826266
185,70.21203830369357
186,78.00957592339262
187,57.968536251709985
188,74.0766073871409
189,75.51299589603283
190,69.97264021887825
191,77.01778385772914
192,79.51436388508893
193,72.94801641586868
194,75.88919288645691
195,80.02735978112175
196,76.36798905608755
197,81.90834473324213
198,78.52257181942545
199,77.87277701778386
200,76.70998632010944
201,79.00136798905609
202,82.11354309165527
203,79.17236662106703
204,77.22298221614227
205,70.07523939808482
206,82.11354309165527
207,77.7359781121751
208,83.44733242134063
209,80.98495212038304
210,63.44049247606019
211,81.53214774281805
212,85.12311901504788
213,84.40492476060192
214,83.48153214774281
215,82.0109439124487
216,84.23392612859097
217,81.87414500683994
218,81.66894664842681
219,86.8673050615595
220,84.33652530779754
221,83.48153214774281
222,87.82489740082079
223,76.57318741450068
224,81.49794801641586
225,82.42134062927497
226,77.29138166894664
227,78.76196990424077
228,86.18331053351574
229,84.67852257181943
230,89.12448700410397
231,87.85909712722298
232,86.93570451436389
233,77.46238030095759
234,84.54172366621067
235,86.83310533515731
236,87.27770177838578
237,87.31190150478797
238,83.17373461012312
239,83.41313269493844
240,82.72913816689467
241,88.74829001367989
242,76.50478796169631
243,88.1326949384405
244,86.55950752393981
245,88.16689466484269
246,90.80027359781121
247,91.00547195622435
248,92.9890560875513
249,82.3187414500684
250,85.29411764705883
251,87.34610123119015
252,70.24623803009575
253,91.58686730506156
254,84.06292749658003
255,86.8673050615595
256,77.7701778385773
257,91.27906976744185
258,93.80984952120383
259,93.67305061559507
260,91.21067031463748
261,92.47606019151847
262,93.02325581395348
263,93.296853625171
264,94.32284541723666
265,90.08207934336525
266,79.34336525307798
267,94.32284541723666
268,92.33926128590971
269,78.79616963064295
270,94.01504787961696
271,91.00547195622435
272,93.9124487004104
273,87.58549931600547
274,92.23666210670315
275,88.33789329685362
276,91.34746922024624
277,94.93844049247606
278,96.81942544459645
279,95.79343365253078
280,96.68262653898769
281,95.31463748290014
282,94.90424076607387
283,96.54582763337893
284,94.93844049247606
285,95.69083447332422
286,90.97127222982216
287,96.9562243502052
288,93.05745554035568
289,92.33926128590971
290,95.69083447332422
291,91.34746922024624
292,95.51983584131327
293,96.37482900136798
294,87.4829001367989
295,94.42544459644323
296,95.31463748290014
297,97.12722298221614
298,97.2298221614227
299,97.19562243502052
300,96.54582763337893
301,97.50341997264022
302,93.77564979480164
303,94.97264021887825
304,93.36525307797538
305,97.19562243502052
306,94.97264021887825
307,93.50205198358414
308,97.64021887824897
309,97.2640218878249
310,97.60601915184678
311,93.8782489740082
312,97.29822161422709
313,98.59781121751026
314,97.8454172366621
315,98.52941176470588
316,98.39261285909713
317,97.77701778385773
318,96.23803009575923
319,97.8796169630643
320,97.05882352941177
321,97.94801641586868
322,98.49521203830369
323,98.42681258549932
324,98.56361149110808
325,98.56361149110808
326,98.1532147742818
327,98.35841313269493
328,98.22161422708618
329,96.58002735978113
330,99.11080711354309
331,97.40082079343365
332,98.7688098495212
333,97.19562243502052
334,98.70041039671683
335,98.8030095759234
336,98.83720930232558
337,99.14500683994528
338,98.93980848153215
339,97.98221614227086
340,98.01641586867305
341,98.7688098495212
342,98.97400820793433
343,98.93980848153215
344,98.66621067031464
345,97.16142270861833
346,96.88782489740082
347,97.36662106703146
348,97.33242134062928
349,65.2530779753762
350,91.89466484268125
351,95.04103967168263
352,90.8686730506156
353,86.62790697674419
354,94.63064295485636
355,98.4610123119015
356,98.4610123119015
357,99.21340629274965
358,99.00820793433653
359,98.59781121751026
360,98.83720930232558
361,99.24760601915185
362,99.4186046511628
363,99.21340629274965
364,99.28180574555404
365,99.17920656634747
366,98.4610123119015
367,97.05882352941177
368,99.04240766073872
369,99.21340629274965
370,98.4610123119015
371,99.3844049247606
372,99.65800273597812
373,98.7688098495212
374,99.48700410396717
375,99.48700410396717
376,99.45280437756497
377,99.31600547195623
378,99.04240766073872
379,99.55540355677155
380,98.7688098495212
381,90.08207934336525
382,96.30642954856361
383,85.22571819425444
384,98.8030095759234
385,99.28180574555404
386,96.47742818057455
387,97.16142270861833
388,99.00820793433653
389,97.91381668946649
390,98.42681258549932
391,99.65800273597812
392,94.32284541723666
393,97.43502051983585
394,99.55540355677155
395,99.62380300957592
396,99.35020519835841
397,97.64021887824897
398,99.35020519835841
399,99.14500683994528
400,98.70041039671683
401,99.58960328317373
402,99.62380300957592
403,98.93980848153215
404,99.62380300957592
405,99.79480164158687
406,99.6922024623803
407,99.79480164158687
408,99.6922024623803
