,0
0,2.2809680271148682
1,2.0665552949905397
2,1.8662184619903563
3,1.941430025100708
4,1.8238803958892822
5,1.826501030921936
6,1.8053028392791748
7,1.7095749187469482
8,1.8190764093399048
9,1.7376700305938722
10,1.7278389358520507
11,1.7717084288597107
12,1.7424010300636292
13,1.8626656675338744
14,1.7658192229270935
15,1.7424705052375793
16,1.7820995020866395
17,1.7088450574874878
18,1.7977631020545959
19,1.743477144241333
20,1.8206307649612428
21,1.716729748249054
22,1.7541861176490783
23,1.7358133912086486
24,1.75624454498291
25,1.7832819867134093
26,1.7132444715499877
27,1.6784174752235412
28,1.6744225239753723
29,1.7274034190177918
30,1.6761402249336244
31,1.6542186665534973
32,1.6811213636398314
33,1.6920262718200683
34,1.6811119508743286
35,1.6703656101226807
36,1.6509924411773682
37,1.6322122240066528
38,1.603163459300995
39,1.6371087288856507
40,1.5362813425064088
41,1.5654209423065186
42,1.6169752025604247
43,1.5778238010406493
44,1.607993848323822
45,1.5416631054878236
46,1.5573556017875672
47,1.5380717897415161
48,1.6383809494972228
49,1.596520664691925
50,1.5781922256946563
51,1.557262535095215
52,1.5204924750328064
53,1.5979061937332153
54,1.5070702838897705
55,1.617951545715332
56,1.520676462650299
57,1.5115350377559662
58,1.5489205884933472
59,1.551069930791855
60,1.4795757734775543
61,1.5695226311683654
62,1.5520282149314881
63,1.548081328868866
64,1.5688462722301484
65,1.5343913960456848
66,1.540075442790985
67,1.4972467994689942
68,1.526455464363098
69,1.4876188921928406
70,1.5566696476936341
71,1.5587059831619263
72,1.4858428204059602
73,1.477916579246521
74,1.488045699596405
75,1.4692421066761017
76,1.460114369392395
77,1.5801220035552979
78,1.5211230850219726
79,1.4339580810070038
80,1.4402808809280396
81,1.517044701576233
82,1.4813220858573914
83,1.5314268016815185
84,1.4970493125915527
85,1.448542091846466
86,1.3880908942222596
87,1.557757053375244
88,1.544998860359192
89,1.4316406738758087
90,1.4773892402648925
91,1.4531211686134338
92,1.4508657741546631
93,1.464879413843155
94,1.4790153193473816
95,1.4773321962356567
96,1.4562121152877807
97,1.436142728328705
98,1.4598367834091186
99,1.4227540600299835
100,1.422939966917038
101,1.4771413397789002
102,1.4631165885925292
103,1.4236006140708923
104,1.4381184029579162
105,1.5228850829601288
106,1.3831243991851807
107,1.4730459225177766
108,1.3704387879371642
109,1.418183364868164
110,1.4178243029117583
111,1.4822072744369508
112,1.4360235214233399
113,1.3089249634742737
114,1.4652295541763305
115,1.4180220222473146
116,1.4519780683517456
117,1.4307414054870606
118,1.3609830439090729
119,1.4093754506111145
120,1.3707013404369355
121,1.4083202469348908
122,1.426005380153656
123,1.4241392624378204
124,1.3955557930469513
125,1.3872415459156036
126,1.3600625050067903
127,1.374528568983078
128,1.467271361351013
129,1.3739428210258484
130,1.4051845216751098
131,1.379261965751648
132,1.3298824608325959
133,1.330064001083374
134,1.46227942943573
135,1.362305611371994
136,1.414392340183258
137,1.389957342147827
138,1.3729403960704802
139,1.3491002607345581
140,1.3636518383026124
141,1.385739654302597
142,1.4097697496414185
143,1.3328337514400481
144,1.3728367209434509
145,1.3555949914455414
146,1.2611352109909058
147,1.3523246788978576
148,1.3848209476470947
149,1.3777564537525178
150,1.3411671650409698
151,1.3452851235866548
152,1.3748699283599854
153,1.4001638007164001
154,1.3132705390453339
155,1.302494705915451
156,1.3596041238307952
157,1.3787251806259155
158,1.298966326713562
159,1.3057771635055542
160,1.3169232535362243
161,1.3215775966644288
162,1.333317493200302
163,1.2684645473957061
164,1.3101566421985626
165,1.3073133540153503
166,1.3080287659168244
167,1.3366371536254882
168,1.2718768167495726
169,1.277174791097641
170,1.3334424459934235
171,1.2794419300556183
172,1.2323323392868042
173,1.305478755235672
174,1.30566455245018
175,1.278223260641098
176,1.3128230142593384
177,1.2220214068889619
178,1.2607020378112792
179,1.3208963871002197
180,1.2803886771202087
181,1.2710746538639068
182,1.2975570416450501
183,1.290524868965149
184,1.242680320739746
185,1.246674518585205
186,1.2537620294094085
187,1.270406678915024
188,1.2378635156154632
189,1.2911117684841156
190,1.2751412546634675
191,1.2249840795993805
192,1.2053086841106415
193,1.3040088546276092
194,1.1485406720638276
195,1.2844086921215057
196,1.2408131229877473
197,1.2315087139606475
198,1.2872739624977112
199,1.184231151342392
200,1.2452763140201568
201,1.1854405868053437
202,1.261992985010147
203,1.1970857840776443
204,1.2234630954265595
205,1.1119492316246034
206,1.1933816170692444
207,1.213230437040329
208,1.1662514209747314
209,1.2603798449039458
210,1.1629866540431977
211,1.195541398525238
212,1.1729704701900483
213,1.237770789861679
214,1.216874885559082
215,1.1856473696231842
216,1.2604923343658447
217,1.1999921464920045
218,1.1837272214889527
219,1.115903993844986
220,1.1871605002880097
221,1.1713551181554793
222,1.1638776791095733
223,1.1853570806980134
224,1.136100070476532
225,1.1836782801151275
226,1.2003211736679078
227,1.1249691897630691
228,1.1280212461948396
229,1.2157743245363235
230,1.1896801686286926
231,1.1133631694316863
232,1.1800035238265991
233,1.144416456222534
234,1.2280171251296996
235,1.0934486174583435
236,1.1918141615390778
237,1.143151512145996
238,1.1867236375808716
239,1.1394728124141693
240,1.1194704365730286
241,1.174904863834381
242,1.1356771910190582
243,1.1057371556758882
244,1.0855630666017533
245,1.0596375513076781
246,1.1201567041873932
247,1.1303745412826538
248,1.1593422937393187
249,1.1541339778900146
